,res_unit,com_unit,tot_unit,land_sqft,tot_sqft,price,age_when_sold,neighb_category
0,1,1,2,2500,2452,400000,105,1.0
1,2,0,2,2000,2400,430000,22,1.0
2,2,0,2,2000,2400,10000,22,1.0
3,2,0,2,3165,2394,505000,20,1.0
4,2,1,3,1620,3240,490000,84,1.0
5,2,0,2,1592,1860,100000,116,1.0
6,2,0,2,4124,2340,228000,17,1.0
7,2,0,2,3525,2316,128778,116,1.0
8,2,0,2,1984,2340,420000,17,1.0
9,2,0,2,1316,2112,449000,114,1.0
10,2,0,2,1562,2536,430000,12,1.0
11,2,0,2,1301,2300,261000,114,1.0
12,2,0,2,1420,2805,393600,114,1.0
13,2,0,2,1202,1966,232215,114,1.0
14,3,0,3,1216,2916,435919,11,1.0
15,3,0,3,1278,2955,400000,11,1.0
16,3,0,3,1650,3316,450000,11,1.0
17,3,0,3,1650,3316,452000,10,1.0
18,3,0,3,1250,2730,692258,12,1.0
19,3,0,3,1250,2730,581540,12,1.0
20,3,0,3,1739,2730,658620,12,1.0
21,3,0,3,1334,2936,455000,10,1.0
22,3,0,3,1269,2936,457314,10,1.0
23,0,1,1,4360,1200,575000,19,1.0
24,1,0,1,1494,1512,72500,65,1.0
25,1,0,1,1494,1512,72500,65,1.0
26,1,0,1,1914,1386,301600,65,1.0
27,1,0,1,1710,1732,386900,70,1.0
28,1,0,1,1710,1701,330000,65,1.0
29,1,0,1,1710,1701,386000,65,1.0
30,1,0,1,1918,1024,156750,70,1.0
31,1,0,1,2288,1480,330000,90,1.0
32,1,0,1,1900,1254,385000,75,1.0
33,1,0,1,1900,1254,190000,75,1.0
34,1,0,1,1900,1681,379000,75,1.0
35,1,1,2,2208,2430,320000,85,1.0
36,1,0,1,2216,2430,385000,85,1.0
37,1,0,1,1800,1690,343000,81,1.0
38,1,0,1,2500,1736,467500,80,1.0
39,1,0,1,2500,1736,305000,80,1.0
40,1,0,1,1800,1633,298700,65,1.0
41,1,0,1,2774,1378,110000,95,1.0
42,1,0,1,2375,1960,345000,60,1.0
43,1,0,1,2997,948,335000,55,1.0
44,1,0,1,2502,1224,400000,80,1.0
45,1,0,1,2502,1796,22000,100,1.0
46,1,0,1,1692,1674,230000,60,1.0
47,1,0,1,1692,1674,335000,61,1.0
48,1,0,1,4750,1063,645000,105,1.0
49,1,0,1,4750,2178,460000,105,1.0
50,1,0,1,3555,1232,300000,90,1.0
51,1,0,1,3555,1255,300000,90,1.0
52,1,0,1,1320,1140,369000,10,1.0
53,1,0,1,2470,1088,152000,60,1.0
54,1,0,1,1706,1732,300000,55,1.0
55,1,0,1,2500,828,176500,105,1.0
56,1,0,1,1600,960,159750,60,1.0
57,1,0,1,1800,1534,347500,65,1.0
58,1,0,1,1850,1534,392000,71,1.0
